i,j
54,103
54,108
54,117
54,132
54,136
54,137
54,143
55,57
55,61
55,73
55,86
55,87
55,104
55,108
55,114
55,129
55,130
55,132
55,143
55,147
56,57
56,61
56,63
56,64
56,93
56,102
56,111
56,115
56,116
56,117
56,118
56,125
56,138
56,139
56,140
56,147
57,63
57,64
57,77
57,108
57,115
57,116
57,118
57,125
57,133
57,140
58,61
58,75
58,78
58,85
58,115
58,132
59,65
59,70
59,79
59,80
59,85
59,97
59,101
59,117
59,120
59,142
60,94
60,129
61,63
61,64
61,77
61,85
61,93
61,104
61,108
61,115
61,116
61,117
61,125
61,128
61,129
61,132
61,136
61,140
61,147
61,148
62,65
62,97
62,107
62,112
62,120
62,122
62,129
62,133
62,136
62,137
63,64
63,74
63,77
63,79
63,85
63,93
63,95
63,111
63,115
63,116
63,117
63,125
63,129
63,130
63,136
63,140
63,147
63,148
64,76
64,77
64,102
64,111
64,140
65,66
65,70
65,71
65,84
65,97
65,98
65,112
65,120
65,122
65,145
66,70
66,85
66,117
67,119
67,121
67,144
68,76
68,96
68,110
68,112
68,138
68,146
69,86
69,96
69,138
70,83
70,101
70,107
70,128
70,145
71,86
71,90
71,112
71,117
71,136
71,137
72,75
72,79
72,95
73,86
73,87
73,88
73,90
73,104
73,108
73,114
73,125
73,132
73,144
74,85
75,78
75,95
75,112
75,129
75,147
76,77
76,138
77,108
77,115
77,118
77,140
77,147
78,79
78,85
78,90
78,129
79,85
79,91
79,98
79,101
79,117
79,135
79,148
80,95
80,101
80,112
80,147
81,119
81,144
82,119
82,144
83,103
83,117
83,132
83,143
84,130
84,131
85,90
85,99
85,111
85,114
85,115
85,117
85,139
86,87
86,88
86,90
86,95
86,99
86,108
86,111
86,112
86,114
86,132
86,136
86,137
86,142
86,143
87,90
87,114
87,132
87,137
90,103
90,114
90,123
90,128
90,137
90,142
90,143
91,128
92,109
92,131
93,102
93,104
93,114
93,129
93,141
93,144
93,147
94,102
94,129
95,107
95,112
95,128
95,147
96,110
96,138
96,146
97,107
97,120
97,123
97,142
98,133
98,148
99,100
99,133
100,104
101,112
101,141
103,117
103,128
104,108
104,114
104,116
104,125
104,132
104,141
106,113
106,121
106,131
106,144
107,112
107,120
107,133
108,114
108,125
108,132
108,140
109,113
109,131
109,144
110,112
110,138
110,146
111,137
111,140
111,147
112,123
113,121
113,131
113,144
114,132
114,137
114,143
115,116
115,117
115,118
115,129
115,140
115,147
117,128
117,129
117,140
118,140
119,121
119,131
119,144
120,139
121,131
121,144
122,133
123,136
123,142
127,130
127,131
127,144
129,140
131,137
131,141
131,144
132,147
136,137
136,142
137,139
137,143
138,146
139,141
140,147
140,148
